Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
China,2019-10-22,3,2020-06-03,S.Q677,2020-06-21,225,TRUE,0.05298270465,18259.46012,967.4355828,16447.43071
USA,2020-03-03,26022,2021-11-19,S.Q677,2020-11-01,626,FALSE,0.01611146527,256577.5962,4133.841031,84748.74588
Brazil,2020-03-09,1553,2021-11-12,S.Q677,2020-11-07,613,FALSE,0.0278459909,101550.1405,2827.764288,42356.90743
Australia,2020-03-20,88,2021-11-14,S.Q677,2020-11-18,604,FALSE,0.009905405476,1402.239579,13.8897516,1227.1225
Sweden,2020-03-20,810,2021-11-19,S.Q677,2020-11-18,609,FALSE,0.0127109911,1659.148728,21.0894247,2521.042925
Spain,2020-03-20,1033,2021-11-21,S.Q677,2020-11-18,611,FALSE,0.01728317741,19008.57607,328.5285926,9904.841293
UK,2020-03-26,6718,2021-11-24,S.Q677,2020-11-24,608,FALSE,0.01443144957,211650.1025,3054.41778,219867.1903
Germany,2020-03-27,3560,2021-11-18,S.Q677,2020-11-25,601,FALSE,0.01896668175,17896.69821,339.4409792,9198.318857
Mexico,2020-03-28,278,2021-11-08,S.Q677,2020-11-26,590,FALSE,0.07571209887,9926.348816,751.544703,6918.615103
Canada,2020-04-01,2380,2021-10-29,S.Q677,2020-11-30,576,FALSE,0.01691096595,124014.1951,2097.19983,55028.40397
India,2020-04-06,1601,2021-11-03,S.Q677,2020-12-05,576,FALSE,0.01339272356,298414.5212,3996.583187,70730.51699
Indonesia,2020-04-09,106,2021-10-24,S.Q677,2020-12-08,563,FALSE,0.0337746128,22748.49491,768.3216075,7860.357773
Romania,2020-04-11,44,2021-11-03,S.Q677,2020-12-10,571,FALSE,0.02929977039,2942.50746,86.21479295,2836.032969
Madagascar,2020-04-13,14,2021-03-29,S.Q677,2020-12-12,350,FALSE,0.01643789895,253.2573585,4.163018868,68.3723471
Japan,2020-04-17,778,2021-10-14,S.Q677,2020-12-16,545,FALSE,0.01051442763,2629.212283,27.64466228,2828.143835
Italy,2020-04-21,1718,2021-11-22,S.Q677,2020-12-20,580,FALSE,0.0270163304,31877.40242,861.210436,10459.67824
Egypt,2020-04-26,368,2021-09-04,S.Q677,2020-12-25,496,FALSE,0.0579113793,121972.2105,7063.578947,581.9459439
Austria,2020-04-26,354,2021-11-05,S.Q677,2020-12-25,558,FALSE,0.01323218433,7227.06504,95.6298568,1711.225639
Qatar,2020-05-08,55,2021-09-15,S.Q677,2021-01-06,495,FALSE,0.0025696223,1740.203258,4.471665096,364.1720006
Guinea-Bissau,2020-05-13,2,2021-01-29,S.Q677,2021-01-11,261,FALSE,0.01777251185,25.06930693,0.4455445545,5.12768686
Kenya,2020-05-17,66,2021-10-01,S.Q677,2021-01-15,502,FALSE,0.02053458805,1399.732484,28.74292994,510.5698305
Bangladesh,2020-05-17,41,2021-09-26,S.Q677,2021-01-15,497,FALSE,0.0176710493,8618.616667,152.3,2617.593612
South Africa,2020-05-28,165,2021-10-20,S.Q677,2021-01-26,510,FALSE,0.0304176437,6571.635522,199.8936678,5543.397525
Malaysia,2020-05-29,57,2021-11-03,S.Q677,2021-01-27,523,FALSE,0.01169896607,9882.7158,115.6175568,4117.464525
Guinea,2020-06-02,26,2021-07-16,S.Q677,2021-01-31,409,FALSE,0.007586631126,1346.093418,10.21231423,50.33639384
South Korea,2020-06-08,24,2021-10-09,S.Q677,2021-02-06,488,FALSE,0.00776727729,187.3694424,1.455350414,565.2071948
Senegal,2020-06-09,119,2021-10-25,S.Q677,2021-02-07,503,FALSE,0.02541409549,9547.908795,242.6514658,143.6802513
North Macedonia,2020-06-11,105,2021-04-26,S.Q677,2021-02-09,319,FALSE,0.03128650313,7113.561151,222.5584532,479.5442268
Saudi Arabia,2020-06-13,9,2021-09-06,S.Q677,2021-02-11,450,FALSE,0.01573426894,11492.24122,180.8220141,662.3595538
Belgium,2020-06-18,974,2021-11-26,S.Q677,2021-02-16,526,FALSE,0.01577308386,6403.047944,100.9958121,2884.937959
United Arab Emirates,2020-06-25,46,2021-02-07,S.Q677,2021-02-23,227,TRUE,0.002820870151,5184.249223,14.62409389,1091.064988
Colombia,2020-06-26,33,2021-10-21,S.Q677,2021-02-24,482,FALSE,0.02546182511,6092.950344,155.1376361,11486.47147
Laos,2020-07-05,3,2020-07-10,S.Q677,2021-03-05,5,TRUE,0,2.590909091,0,0
Singapore,2020-07-27,39,2021-05-29,S.Q677,2021-03-27,306,FALSE,0.0005161040595,94.87648605,0.0489661396,20.60525395
Iceland,2020-08-03,13,2021-08-22,S.Q677,2021-04-03,384,FALSE,0.002965892239,5.751935611,0.01705962119,14.71374235
Pakistan,2020-08-10,15,2021-07-06,S.Q677,2021-04-10,330,FALSE,0.02325966582,2837.302722,65.99471314,2307.539045
France,2020-08-13,4214,2021-11-18,S.Q677,2021-04-13,462,FALSE,0.01600938349,816113.2646,13065.47023,205591.0978
Netherlands,2020-08-16,677,2021-11-14,S.Q677,2021-04-16,455,FALSE,0.008143888241,26976.57406,219.6942042,26044.7083
Denmark,2020-08-17,1922,2021-11-22,S.Q677,2021-04-17,462,FALSE,0.006171990773,3432.532229,21.18555725,2716.192476
Russia,2020-08-18,46,2021-10-31,S.Q677,2021-04-18,439,FALSE,0.0279535029,20182.62708,564.1751244,16275.50478
Peru,2020-08-21,110,2021-10-22,S.Q677,2021-04-21,427,FALSE,0.09115358602,7953.159126,724.9589745,4303.161187
Chile,2020-08-21,211,2021-11-13,S.Q677,2021-04-21,449,FALSE,0.02201681472,6820.692521,150.1699235,3612.883998
Switzerland,2020-08-25,1546,2021-11-23,S.Q677,2021-04-25,455,FALSE,0.01186490883,5195.024988,61.63849783,1904.401253
New Zealand,2020-08-30,9,2021-08-31,S.Q677,2021-04-30,366,FALSE,0.007282913165,6.47716964,0.04717266405,7.092546917
Rwanda,2020-09-09,7,2021-01-30,S.Q677,2021-05-10,143,TRUE,0.01276623892,65.0436386,0.8303626306,53.5248935
Philippines,2020-09-18,131,2021-08-30,S.Q677,2021-05-19,346,FALSE,0.01686568478,5649.495068,95.282603,4545.191963
Burkina Faso,2020-09-21,23,2021-04-23,S.Q677,2021-05-22,214,TRUE,0.01179049203,981.6548387,11.57419355,68.26278104
