Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
China,2019-10-22,-0.1060930303725066,2020-06-03,S.Q677,2020-06-21,225,True,2.318430505676465,-0.09885948648905947,-0.07283847891484245,0.1283852849231335
USA,2020-03-03,0.5490586929376098,2021-11-19,S.Q677,2020-11-01,626,False,-0.22401494250287265,0.13309402541903706,0.127569878490404,1.7947936050484852
Brazil,2020-03-09,-0.06706442930672081,2021-11-12,S.Q677,2020-11-07,613,False,0.5851358150038112,-0.01779320197905269,0.04490557696874638,0.7605219790532372
Australia,2020-03-20,-0.10395275224954416,2021-11-14,S.Q677,2020-11-18,604,False,-0.6519519671243676,-0.11526651102277642,-0.13319036905261547,-0.24295819759821774
Sweden,2020-03-20,-0.08577297807567491,2021-11-19,S.Q677,2020-11-18,609,False,-0.4584936370231737,-0.11501646299734261,-0.13273468683395143,-0.21138926285027895
Spain,2020-03-20,-0.08015789547072637,2021-11-21,S.Q677,2020-11-18,611,False,-0.14321987710739342,-0.09813037674404812,-0.11327622529173167,-0.03124012510764783
UK,2020-03-26,0.06298894134152666,2021-11-24,S.Q677,2020-11-24,608,False,-0.33985993011811744,0.08936638422329665,0.0592509458025781,5.091399232970288
Germany,2020-03-27,-0.016528685862183996,2021-11-18,S.Q677,2020-11-25,601,False,-0.02713433134879683,-0.09921256032722822,-0.11258555774783889,-0.04847778536023927
Mexico,2020-03-28,-0.09916860115115751,2021-11-08,S.Q677,2020-11-26,590,False,3.885729187419686,-0.10697005022490128,-0.08650265973669109,-0.10409775832314931
Canada,2020-04-01,-0.046240782157427364,2021-10-29,S.Q677,2020-11-30,576,False,-0.16888560866808788,0.004070918149916857,-0.0013333603378023484,1.0696798219167132
India,2020-04-06,-0.0658558016608126,2021-11-03,S.Q677,2020-12-05,576,False,-0.41148497610077256,0.17381363593969038,0.11888254532760177,1.4527783276328896
Indonesia,2020-04-09,-0.10349951688232857,2021-10-24,S.Q677,2020-12-08,563,False,0.9939421913852752,-0.09449033774635282,-0.08544081471141139,-0.08112121948492855
Romania,2020-04-11,-0.10506066092496001,2021-11-03,S.Q677,2020-12-10,571,False,0.6853807514138381,-0.11376737818230614,-0.1286127674241002,-0.203704168811141
Madagascar,2020-04-13,-0.10581605320365264,2021-03-29,S.Q677,2020-12-12,350,False,-0.20150580427470077,-0.11638480804183111,-0.1338059941081017,-0.2712292622319368
Japan,2020-04-17,-0.0865787298396137,2021-10-14,S.Q677,2020-12-16,545,False,-0.6099570239297656,-0.11407230636680916,-0.1323197922737631,-0.20389664707460436
Italy,2020-04-21,-0.06290977177391135,2021-11-22,S.Q677,2020-12-20,580,False,0.5279268196668285,-0.0856052306720096,-0.07956168841330417,-0.01770327149813119
Egypt,2020-04-26,-0.09690242431507963,2021-09-04,S.Q677,2020-12-25,496,False,2.658285814045798,0.0020834676477307673,0.3129990577217631,-0.258699147510513
Austria,2020-04-26,-0.09725494071180285,2021-11-05,S.Q677,2020-12-25,558,False,-0.422554911406205,-0.1095972457954036,-0.12801686853751995,-0.23114710001363223
Qatar,2020-05-08,-0.10478368375610604,2021-09-15,S.Q677,2021-01-06,495,False,-1.1577887347044806,-0.11493757314364197,-0.13378645924922633,-0.2640123733264197
Guinea-Bissau,2020-05-13,-0.10611821011512969,2021-01-29,S.Q677,2021-01-11,261,False,-0.10947796496841006,-0.11660690200751807,-0.13404128075507493,-0.2727722988157144
Kenya,2020-05-17,-0.10450670658725209,2021-10-01,S.Q677,2021-01-15,502,False,0.08098018561992218,-0.11526895116224505,-0.13225028063940902,-0.26044057443519114
Bangladesh,2020-05-17,-0.10513620015282928,2021-09-26,S.Q677,2021-01-15,497,False,-0.11647428521003685,-0.10824285753023304,-0.12443009782908515,-0.20903362932067324
South Africa,2020-05-28,-0.10201391206756641,2021-10-20,S.Q677,2021-01-26,510,False,0.762463376149049,-0.11023517113759114,-0.12141779604312432,-0.13765017247883465
Malaysia,2020-05-29,-0.10473332427085986,2021-11-03,S.Q677,2021-01-27,523,False,-0.5282775247967627,-0.1070125179592618,-0.12675180561653931,-0.1724399361785093
Guinea,2020-06-02,-0.10551389629217559,2021-07-16,S.Q677,2021-01-31,409,False,-0.8118423692547152,-0.1153211577208344,-0.13342312167853118,-0.2716693015269203
South Korea,2020-06-08,-0.10556425577742176,2021-10-09,S.Q677,2021-02-06,488,False,-0.7993859662393615,-0.11644893632758849,-0.13397736805124996,-0.25910753775452666
Senegal,2020-06-09,-0.10317218022822844,2021-10-25,S.Q677,2021-02-07,503,False,0.41744518350970056,-0.10733838346785705,-0.11871156647030806,-0.26939190788791373
North Macedonia,2020-06-11,-0.10352469662495166,2021-04-26,S.Q677,2021-02-09,319,False,0.8223753221551121,-0.10970771840190274,-0.1199832948438106,-0.261197533858504
Saudi Arabia,2020-06-13,-0.10594195191676807,2021-09-06,S.Q677,2021-02-11,450,False,-0.25002440430573897,-0.10544597720069766,-0.12262488049694607,-0.2567372246946031
Belgium,2020-06-18,-0.08164350028548854,2021-11-26,S.Q677,2021-02-16,526,False,-0.24734793293306875,-0.11039925634497147,-0.1276772461154469,-0.2025109899971049
