Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
China,2019-10-22,3,2020-06-03,S.Q677,2020-06-21,225,True,0.05,18260,968,16447.43
USA,2020-03-03,26022,2021-11-19,S.Q677,2020-11-01,626,False,0.02,256578,4134,84748.75
Brazil,2020-03-09,1553,2021-11-12,S.Q677,2020-11-07,613,False,0.03,101551,2828,42356.91
Australia,2020-03-20,88,2021-11-14,S.Q677,2020-11-18,604,False,0.01,1403,14,1227.12
Sweden,2020-03-20,810,2021-11-19,S.Q677,2020-11-18,609,False,0.01,1660,22,2521.04
Spain,2020-03-20,1033,2021-11-21,S.Q677,2020-11-18,611,False,0.02,19009,329,9904.84
UK,2020-03-26,6718,2021-11-24,S.Q677,2020-11-24,608,False,0.01,211651,3055,219867.19
Germany,2020-03-27,3560,2021-11-18,S.Q677,2020-11-25,601,False,0.02,17897,340,9198.32
Mexico,2020-03-28,278,2021-11-08,S.Q677,2020-11-26,590,False,0.08,9927,752,6918.62
Canada,2020-04-01,2380,2021-10-29,S.Q677,2020-11-30,576,False,0.02,124015,2098,55028.4
India,2020-04-06,1601,2021-11-03,S.Q677,2020-12-05,576,False,0.01,298415,3997,70730.52
Indonesia,2020-04-09,106,2021-10-24,S.Q677,2020-12-08,563,False,0.03,22749,769,7860.36
Romania,2020-04-11,44,2021-11-03,S.Q677,2020-12-10,571,False,0.03,2943,87,2836.03
Madagascar,2020-04-13,14,2021-03-29,S.Q677,2020-12-12,350,False,0.02,254,5,68.37
Japan,2020-04-17,778,2021-10-14,S.Q677,2020-12-16,545,False,0.01,2630,28,2828.14
Italy,2020-04-21,1718,2021-11-22,S.Q677,2020-12-20,580,False,0.03,31878,862,10459.68
Egypt,2020-04-26,368,2021-09-04,S.Q677,2020-12-25,496,False,0.06,121973,7064,581.95
Austria,2020-04-26,354,2021-11-05,S.Q677,2020-12-25,558,False,0.01,7228,96,1711.23
Qatar,2020-05-08,55,2021-09-15,S.Q677,2021-01-06,495,False,0.0,1741,5,364.17
Guinea-Bissau,2020-05-13,2,2021-01-29,S.Q677,2021-01-11,261,False,0.02,26,1,5.13
Kenya,2020-05-17,66,2021-10-01,S.Q677,2021-01-15,502,False,0.02,1400,29,510.57
Bangladesh,2020-05-17,41,2021-09-26,S.Q677,2021-01-15,497,False,0.02,8619,153,2617.59
South Africa,2020-05-28,165,2021-10-20,S.Q677,2021-01-26,510,False,0.03,6572,200,5543.4
Malaysia,2020-05-29,57,2021-11-03,S.Q677,2021-01-27,523,False,0.01,9883,116,4117.46
Guinea,2020-06-02,26,2021-07-16,S.Q677,2021-01-31,409,False,0.01,1347,11,50.34
South Korea,2020-06-08,24,2021-10-09,S.Q677,2021-02-06,488,False,0.01,188,2,565.21
Senegal,2020-06-09,119,2021-10-25,S.Q677,2021-02-07,503,False,0.03,9548,243,143.68
North Macedonia,2020-06-11,105,2021-04-26,S.Q677,2021-02-09,319,False,0.03,7114,223,479.54
Saudi Arabia,2020-06-13,9,2021-09-06,S.Q677,2021-02-11,450,False,0.02,11493,181,662.36
Belgium,2020-06-18,974,2021-11-26,S.Q677,2021-02-16,526,False,0.02,6404,101,2884.94
United Arab Emirates,2020-06-25,46,2021-02-07,S.Q677,2021-02-23,227,True,0.0,5185,15,1091.06
Colombia,2020-06-26,33,2021-10-21,S.Q677,2021-02-24,482,False,0.03,6093,156,11486.47
Laos,2020-07-05,3,2020-07-10,S.Q677,2021-03-05,5,True,0.0,3,0,0.0
Singapore,2020-07-27,39,2021-05-29,S.Q677,2021-03-27,306,False,0.0,95,1,20.61
Iceland,2020-08-03,13,2021-08-22,S.Q677,2021-04-03,384,False,0.0,6,1,14.71
Pakistan,2020-08-10,15,2021-07-06,S.Q677,2021-04-10,330,False,0.02,2838,66,2307.54
France,2020-08-13,4214,2021-11-18,S.Q677,2021-04-13,462,False,0.02,816114,13066,205591.1
Netherlands,2020-08-16,677,2021-11-14,S.Q677,2021-04-16,455,False,0.01,26977,220,26044.71
Denmark,2020-08-17,1922,2021-11-22,S.Q677,2021-04-17,462,False,0.01,3433,22,2716.19
Russia,2020-08-18,46,2021-10-31,S.Q677,2021-04-18,439,False,0.03,20183,565,16275.5
Peru,2020-08-21,110,2021-10-22,S.Q677,2021-04-21,427,False,0.09,7954,725,4303.16
Chile,2020-08-21,211,2021-11-13,S.Q677,2021-04-21,449,False,0.02,6821,151,3612.88
Switzerland,2020-08-25,1546,2021-11-23,S.Q677,2021-04-25,455,False,0.01,5196,62,1904.4
New Zealand,2020-08-30,9,2021-08-31,S.Q677,2021-04-30,366,False,0.01,7,1,7.09
Rwanda,2020-09-09,7,2021-01-30,S.Q677,2021-05-10,143,True,0.01,66,1,53.52
Philippines,2020-09-18,131,2021-08-30,S.Q677,2021-05-19,346,False,0.02,5650,96,4545.19
Burkina Faso,2020-09-21,23,2021-04-23,S.Q677,2021-05-22,214,True,0.01,982,12,68.26
Jordan,2020-10-08,18,2021-11-17,S.Q677,2021-06-08,405,False,0.01,8241,104,2176.08
Oman,2020-10-12,8,2021-07-06,S.Q677,2021-06-12,267,False,0.01,1894,23,534.53
